n,k,count_time,aru_time,count_space_bytes,aru_space_bytes
1000,1000,1.44E-4,1.8372E-4,12000,8252
1000,10000,4.322E-4,1.7054E-4,48000,8800
1000,100000,8.582E-4,1.7502E-4,408000,10528
1000,1000000,0.00473176,2.1054E-4,4008000,16000
1000,10000000,0.01443476,6.758E-5,40008000,33296
1000,100000000,0.09404354,9.78E-5,400008000,88000
1000,1000000000,1.10360466,8.422E-5,-294959296,260980
10000,10000,4.76E-5,1.2494E-4,120000,80800
10000,100000,1.7154E-4,1.1688E-4,480000,82528
10000,1000000,0.00670248,1.0132E-4,4080000,88000
10000,10000000,0.00716796,1.3752E-4,40080000,105296
10000,100000000,0.05877874,1.3992E-4,400080000,160000
10000,1000000000,0.5609214,1.4188E-4,-294887296,332980
100000,100000,4.9684E-4,0.00108052,1200000,802528
100000,1000000,0.00464182,0.001006,4800000,808000
100000,10000000,0.00741092,0.00103578,40800000,825296
100000,100000000,0.05985646,0.00112288,400800000,880000
100000,1000000000,0.56683256,0.00106792,-294167296,1052980
1000000,1000000,0.006415,0.01139362,12000000,8008000
1000000,10000000,0.02290266,0.01109618,48000000,8025296
1000000,100000000,0.07726248,0.01092512,408000000,8080000
1000000,1000000000,0.60401634,0.0108844,-286967296,8252980
